Name,State,2015_RPP
Fond du Lac,WI,87.3
Winchester,WV,91.6
Weirton-Steubenville,WV,85.6
Huntington-Ashland,WV,86.4
Morgantown,WV,91.3
Charleston,WV,87.5
Parkersburg-Vienna,WV,86.3
Hagerstown-Martinsburg,WV,100.6
Cumberland,WV,87.7
Washington-Arlington-Alexandria,WV,119.1
Beckley,WV,79.7
Wheeling,WV,86.3
Wheeling,OH,86.3
Cheyenne,WY,98.1
Casper,WY,98.1
